"filename", "language", "Markdown", "JSON", "YAML", "Dart", "Svelte", "Swift", "Groovy", "XML", "Java", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_fr.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_he.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_ja.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_ko.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_pt.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_ru.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_zh.arb", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/l10n.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 1, 42
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_all.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ar.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_de.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_en.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_es.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_fr.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_he.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ja.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ko.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_messages.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 9, 14, 109
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_pt.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ru.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_zh.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/main.dart", "Dart", 0, 0, 0, -6, 0, 0, 0, 0, 0, 5, 2, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/config/constants.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/config/device_preview_screenshot_helper.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 9, 5, 48
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/config/themes/dark_theme/dark_theme.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/lang/budgetme_localizations.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/models/goal.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/providers/ad_state_provider.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 17, 4, 26
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/providers/pro_user_repository_provider.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/repositories/pro_user_repository.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 10, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/services/ad_state.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 19, 6, 47
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/components/show_goal_settings_bottom_sheet.dart", "Dart", 0, 0, 0, 130, 0, 0, 0, 0, 0, 20, 6, 156
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/components/show_purchase_pro_bottom_sheet.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 10, 26, 143
