"filename", "language", "JSON", "Markdown", "Svelte", "HTML", "JavaScript", "TypeScript", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/HomePage/HeroSection.svelte", "Svelte", 0, 0, -33, 0, 0, 0, 0, -2, -35
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/Logo.svelte", "Svelte", 0, 0, -4, 0, 0, 0, 0, -1, -5
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/ModalContent.svelte", "Svelte", 0, 0, -6, 0, 0, 0, -1, -2, -9
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/Navbar.svelte", "Svelte", 0, 0, -144, 0, 0, 0, -3, -14, -161
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/Popup.svelte", "Svelte", 0, 0, -4, 0, 0, 0, 0, -2, -6
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/PrivacyPolicyPage/PrivacyPolicySection.svelte", "Svelte", 0, 0, -34, 0, 0, 0, 0, -4, -38
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/SecondaryLogo.svelte", "Svelte", 0, 0, -3, 0, 0, 0, 0, -1, -4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/SupportPage/EmailCard.svelte", "Svelte", 0, 0, -33, 0, 0, 0, 0, -3, -36
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/SupportPage/InstagramCard.svelte", "Svelte", 0, 0, -33, 0, 0, 0, 0, -3, -36
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/SupportPage/LinkedInCard.svelte", "Svelte", 0, 0, -33, 0, 0, 0, 0, -3, -36
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/lib/elements/SupportPage/TwitterCard.svelte", "Svelte", 0, 0, -33, 0, 0, 0, 0, -3, -36
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/About.svelte", "Svelte", 0, 0, 37, 0, 0, 0, 0, 3, 40
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/Home.svelte", "Svelte", 0, 0, 17, 0, 0, 0, 0, 2, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/PrivacyPolicy.svelte", "Svelte", 0, 0, 102, 0, 0, 0, 0, 2, 104
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/Support.svelte", "Svelte", 0, 0, 28, 0, 0, 0, 0, 2, 30
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/src/routes/__layout.svelte", "Svelte", 0, 0, -20, 0, 0, 0, 0, -1, -21
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_website/svelte.config.js", "JavaScript", 0, 0, 0, 0, -2, 0, 0, 0, -2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/build/8d6e36f9407186d8e3653559a89fb824/gen_l10n_inputs_and_outputs.json", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/build/8d6e36f9407186d8e3653559a89fb824/outputs.json", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, -1
"Total", "-", -688, 17, -22, -17, -15, -10, 0, 5, -730
