"filename", "language", "Markdown", "JSON", "Svelte", "HTML", "Dart", "JavaScript", "CSS", "YAML", "TypeScript", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_fr.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_he.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_ja.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_ko.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_ar.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_de.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_en.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_es.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_fr.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_he.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_ja.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_ko.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_pt.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_ru.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_messages_zh.arb", "JSON", 0, -404, 0, 0, 0, 0, 0, 0, 0, 0, -1, -405
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_pt.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_ru.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/intl_zh.arb", "JSON", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/l10n.dart", "Dart", 0, 0, 0, 0, 122, 0, 0, 0, 0, 67, 67, 256
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ar.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_de.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_en.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_es.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_fr.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_he.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ja.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ko.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_messages.dart", "Dart", 0, 0, 0, 0, -78, 0, 0, 0, 0, -9, -12, -99
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_messages_ar.dart", "Dart", 0, 0, 0, 0, -78, 0, 0, 0, 0, -9, -12, -99
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_messages_en.dart", "Dart", 0, 0, 0, 0, -78, 0, 0, 0, 0, -9, -12, -99
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_pt.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_ru.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/l10n/messages_zh.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/main.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, 0, 4, 1, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/config/constants.dart", "Dart", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/lang/budgetme_localizations.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/components/show_purchase_pro_bottom_sheet.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/all_goals_view/all_goals_view.dart", "Dart", 0, 0, 0, 0, -168, 0, 0, 0, 0, -17, -15, -200
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/all_goals_view/components/add_goal_button.dart", "Dart", 0, 0, 0, 0, -33, 0, 0, 0, 0, -17, -6, -56
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/all_goals_view/components/goal_card.dart", "Dart", 0, 0, 0, 0, -161, 0, 0, 0, 0, -17, -7, -185
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/dashboard_view/components/add_goal_button.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 17, 7, 64
"/Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/budgetme_mobileapp/lib/src/ui/views/dashboard_view/components/goal_card.dart", "Dart", 0, 0, 0, 0, 161, 0, 0, 0, 0, 17, 7, 185
